ID,Title,Studio,Status,Sound,Versions,RecRetPrice,Rating,Year,Genre,Aspect,Rank
1156,Tom Cruise Action Pack Gift Set,Paramount,Out,5.1,VAR,79.99,PG-13,1977,Action/Adventure,VAR,1034
1157,Tom Petty & The Heartbreakers: High Grass Dogs: Live,Warner Brothers,Out,SUR,4:03,24.99,NR,1999,Music,1.33:1,650
1158,Tom Sawyer (MGM/UA),MGM/UA,Out,SUR,4:03,19.98,NR,2000,Animation,1.33:1,929
1159,Tommy Boy,Paramount,Out,5.1,"LBX, 16:9",29.99,PG-13,1995,Comedy,1.85:1,2178
1160,Tomorrow Never Dies,MGM/UA,Discontinued,5.1,"4:3, LBX, 16:9",24.98,PG-13,1997,Action/Adventure,2.35:1,1756
1161,Tomorrow Never Dies: Special Edition (Discontinued),MGM/UA,Discontinued,5.1,"LBX, 16:9",34.98,PG-13,1997,Action/Adventure,2.35:1,1906
1162,Top Gun,Paramount,Out,5.1,"4:3, LBX",29.99,PG,1986,Action/Adventure,2.35:1,1055
1163,Total Eclipse,New Line,Out,5.1,"4:3, LBX, 16:9",24.98,R,1995,Drama,1.85:1,2040
1164,Train: Special Edition,MGM/UA,Out,1,LBX,24.98,NR,1964,Action/Adventure,1.66:1,1573
1165,Trekkies,Paramount,Out,SUR,4:03,29.99,PG,1999,Documentary,1.33:1,1209
1166,Tremors 2: Aftershocks,Universal,Out,SUR,LBX,24.98,PG-13,1995,SciFi,1.85:1,1913
1167,Tremors: Collector's Edition,Universal,Out,SUR,LBX,34.98,PG-13,1990,Horror,1.85:1,1203
1168,Trial And Error,New Line,Out,5.1,"4:3, LBX, 16:9",24.98,PG-13,1997,Comedy,2.35:1,2017
1169,Trick,New Line,Out,SUR,"LBX, 16:9",24.98,R,1999,Comedy,1.66:1,319
1170,Trigger Effect,Universal,Out,5.1,"LBX, 16:9",24.98,R,1996,Mystery/Suspense,1.85:1,69
1171,True Crime (Warner),Warner Brothers,Out,5.1,"LBX, 16:9",24.98,R,1999,Mystery/Suspense,1.85:1,1022
1172,True Grit,Paramount,Out,1,"LBX, 16:9",29.99,G,1969,Western,1.85:1,1062
1173,True Romance: Director's Cut,Warner Brothers,Out,SUR,"4:3, LBX",24.98,UNK,1993,Drama,2.35:1,286
1174,True Stories: Talking Heads,Warner Brothers,Out,SUR,4:03,14.98,PG,1986,Comedy,1.33:1,288
1175,"Truman Show, The",Paramount,Out,5.1,LBX,29.99,PG,1998,Comedy,1.85:1,606
1176,Tumbleweeds,New Line,Out,2,"4:3, LBX, 16:9",24.98,PG-13,1999,Drama,1.78:1,2045
1177,Twilight,Paramount,Out,5.1,"LBX, 16:9",29.99,R,1998,Mystery/Suspense,1.78:1,2153
1178,Twilight Zone Volume 1,Panasonic,Out,1,4:03,24.95,NR,1975,TV Classics,1.33:1,2217
1179,Twilight Zone Volume 10,Panasonic,Out,1,4:03,24.95,NR,1971,TV Classics,1.33:1,495
1180,Twilight Zone Volume 11,Panasonic,Out,1,4:03,24.95,NR,1977,TV Classics,1.33:1,2075
1181,Twilight Zone Volume 12,Panasonic,Out,1,4:03,24.95,NR,1972,TV Classics,1.33:1,1221
1182,Twilight Zone Volume 13,Panasonic,Out,1,4:03,24.95,NR,1973,TV Classics,1.33:1,1024
1183,Twilight Zone Volume 14,Panasonic,Out,1,4:03,24.99,NR,1970,TV Classics,1.33:1,728
1184,Twilight Zone Volume 15,Panasonic,Out,1,4:03,24.99,NR,1978,TV Classics,1.33:1,131
1185,Twilight Zone Volume 16,Panasonic,Out,1,4:03,24.99,NR,1977,TV Classics,1.33:1,1876
1186,Twilight Zone Volume 17,Panasonic,Out,1,4:03,24.99,NR,1970,TV Classics,1.33:1,1337
1187,Twilight Zone Volume 18,Panasonic,Out,1,4:03,24.99,NR,1973,TV Classics,1.33:1,901
1188,Twilight Zone Volume 19,Panasonic,Out,1,4:03,24.99,NR,1977,TV Classics,1.33:1,1460
1189,Twilight Zone Volume 2,Panasonic,Out,1,4:03,24.95,NR,1979,TV Classics,1.33:1,1001
1190,Twilight Zone Volume 20,Panasonic,Out,1,4:03,24.99,NR,1978,TV Classics,1.33:1,954
1191,Twilight Zone Volume 21,Panasonic,Out,1,4:03,24.99,NR,1974,TV Classics,1.33:1,702
1192,Twilight Zone Volume 22,Panasonic,Out,1,4:03,24.99,NR,1979,TV Classics,1.33:1,1484
1193,Twilight Zone Volume 23,Panasonic,Out,1,4:03,24.99,NR,1974,TV Classics,1.33:1,1919
1194,Twilight Zone Volume 3,Panasonic,Out,1,4:03,24.95,NR,1979,TV Classics,1.33:1,1633
1195,Twilight Zone Volume 4,Panasonic,Out,1,4:03,24.95,NR,1972,TV Classics,1.33:1,119
1196,Twilight Zone Volume 5,Panasonic,Out,1,4:03,24.95,NR,1975,TV Classics,1.33:1,2279
1197,Twilight Zone Volume 6,Panasonic,Out,1,4:03,24.95,NR,1971,TV Classics,1.33:1,1421
1198,Twilight Zone Volume 7,Panasonic,Out,1,4:03,24.95,NR,1974,TV Classics,1.33:1,1878
1199,Twilight Zone Volume 8,Panasonic,Out,1,4:03,24.95,NR,1979,TV Classics,1.33:1,1554
1200,Twilight Zone Volume 9,Panasonic,Out,1,4:03,24.95,NR,1974,TV Classics,1.33:1,156
1201,Twins,Universal,Out,SUR,4:03,26.98,PG,1988,Action/Adventure,1.33:1,1143
1202,Twister,Warner Brothers,Discontinued,5.1,"4:3, LBX, 16:9",24.98,PG-13,1996,Action/Adventure,2.35:1,555
1203,Twister: Special Edition,Warner Brothers,Out,5.1/DTS,LBX,24.98,PG-13,1996,Action/Adventure,2.35:1,1222
1204,Two If By Sea,Warner Brothers,Out,5.1,"LBX, 16:9",24.98,R,1996,Comedy,1.85:1,1240
1205,Two Jakes,Paramount,Out,5.1,"LBX, 16:9",29.99,R,1990,Mystery/Suspense,1.85:1,1015
1206,Two Minute Warning,Universal,Out,1,LBX,24.98,R,1976,Mystery/Suspense,2.35:1,2290
1207,U.S. Marshals: Special Edition,Warner Brothers,Out,5.1,"LBX, 16:9",19.95,PG-13,1998,Action/Adventure,1.85:1,1448
1208,U2: Rattle & Hum,Paramount,Out,5.1,"LBX, 16:9",29.99,PG-13,1988,Music,1.85:1,1324
1209,Ulee's Gold,MGM/UA,Out,2,4:03,24.98,R,1997,Drama,1.33:1,236
1210,Uncle Buck,Universal,Out,SUR,"LBX, 16:9",24.98,PG,1989,Comedy,1.85:1,152
1211,Under Siege,Warner Brothers,Out,5.1,"4:3, LBX, 16:9",24.98,R,1992,Action/Adventure,1.85:1,444
1212,Under Siege 2: Dark Territory,Warner Brothers,Out,5.1,"4:3, LBX, 16:9",19.98,R,1995,Action/Adventure,1.85:1,707
1213,Underneath,Universal,Out,5.1,LBX,24.98,R,1995,Mystery/Suspense,2.35:1,1323
1214,Unforgiven,Warner Brothers,Out,5.1,"4:3, LBX, 16:9",24.98,R,1992,Western,2.35:1,853
1215,Usual Suspects,MGM/UA,Out,2,"4:3, LBX",24.98,R,1995,Mystery/Suspense,2.35:1,1909
1216,"Van Halen Live: Right Here, Right Now",Warner Brothers,Out,PCM,4:03,24.99,NR,1993,Music,1.33:1,1178
1217,Van Halen: Video Hits #1,Warner Brothers,Out,PCM,4:03,24.99,NR,1996,Music,1.33:1,1892
1218,Varsity Blues,Paramount,Out,5.1,"LBX, 16:9",29.99,R,1999,Drama,1.78:1,22
1219,Vegas Vacation,Warner Brothers,Out,5.1,4:03,24.98,PG,1997,Comedy,1.33:1,2131
1220,Vertigo: Collector's Edition,Universal,Out,5.1,LBX,34.98,NR,1958,Mystery/Suspense,1.85:1,480
1221,Victory,Warner Brothers,Out,SUR,"4:3, LBX, 16:9",24.98,PG,1981,Action/Adventure,2.35:1,625
1222,Videodrome,Universal,Out,1,LBX,24.98,R,1983,SciFi,1.85:1,573
1223,Village Of The Damned,Universal,Out,5.1,"LBX, 16:9",24.98,R,1995,Horror,2.35:1,12
1224,Virtuosity,Paramount,Out,5.1,"LBX, 16:9",29.99,R,1995,SciFi,2.35:1,1519
1225,Virus,Universal,Out,DTS,"LBX, 16:9",34.98,R,1999,SciFi,2.35:1,1437
1226,Virus: Collector's Edition,Universal,Out,5.1,"LBX, 16:9",29.98,R,1999,SciFi,2.35:1,723
1227,Vision Quest,Warner Brothers,Out,SUR,4:03,14.98,R,1985,Drama,1.33:1,2001
1228,Viva Las Vegas,MGM/UA,Discontinued,1,"4:3, LBX, 16:9",19.98,NR,1964,Musical,2.35:1,939
1229,Wag The Dog: Platinum Edition,New Line,Out,5.1,"4:3, LBX, 16:9",24.98,R,1997,Drama,1.85:1,1036
1230,War,Universal,Out,5.1,"LBX, 16:9",26.98,PG-13,1994,Drama,1.85:1,1557
1231,War Of The Worlds,Paramount,Out,1,4:03,29.99,NR,1953,SciFi,1.33:1,906
1232,War Wagon,Universal,Out,1,LBX,24.98,NR,1967,Western,2.35:1,2091
1233,WarGames: Special Edition,MGM/UA,Out,5.1,LBX,24.98,PG,1983,Action/Adventure,1.85:1,1941
1234,Warriors Of Virtue,MGM/UA,Out,5.1,4:03,24.98,PG,1997,SciFi,1.33:1,19
1235,Waterworld,Universal,Out,5.1,"LBX, 16:9",26.98,PG-13,1995,SciFi,1.85:1,1576
1236,Waterworld (DTS),Universal,Out,DTS,"LBX, 16:9",34.98,PG-13,1995,SciFi,1.85:1,925
1237,Wedding Singer,New Line,Out,5.1,"4:3, LBX, 16:9",24.98,PG-13,1998,Comedy,1.85:1,515
1238,West Side Story,MGM/UA,Out,5.1,"LBX, 16:9",24.98,NR,1961,Musical,2.20:1,653
1239,Westworld,MGM/UA,Discontinued,2,"LBX, 16:9",24.98,PG,1973,SciFi,1.78:1,1030
1240,What Ever Happened to Baby Jane?,Warner Brothers,Out,5.1,"4:3, LBX, 16:9",19.98,NR,1962,Mystery/Suspense,1.85:1,624
1241,White Sands,Warner Brothers,Out,5.1,LBX,24.98,R,1991,Drama,2.35:1,1952
1242,Who's Afraid of Virginia Woolf?,Warner Brothers,Out,1,"4:3, LBX",19.98,NR,1966,Drama,1.85:1,607
1243,Why Do Fools Fall In Love,Warner Brothers,Out,5.1,"4:3, LBX, 16:9",19.98,R,1998,Drama,1.85:1,21
1244,Wild America,Warner Brothers,Out,5.1,"4:3, LBX, 16:9",24.98,PG,1997,Family,2.35:1,1304
1245,Wild Bunch: Director's Cut,Warner Brothers,Out,5.1,LBX,24.98,R,1969,Western,2.35:1,77
1246,Wild Wild West: Special Edition,Warner Brothers,Out,5.1,"LBX, 16:9",24.98,PG-13,1999,Action/Adventure,1.85:1,433
1247,Willy Wonka & The Chocolate Factory,Warner Brothers,Discontinued,5.1,"4:3, LBX, 16:9",24.98,G,1971,Family,1.85:1,770
1248,Winning,Universal,Out,SUR,LBX,24.98,PG,1969,Action/Adventure,2.35:1,2
1249,Witches,Warner Brothers,Out,2,4:03,14.98,PG,1990,Family,1.33:1,1009
1250,Witches of Eastwick,Warner Brothers,Out,5.1,"4:3, LBX, 16:9",14.98,R,1987,Comedy,2.35:1,629
1251,With Honors,Warner Brothers,Out,SUR,4:03,14.98,PG-13,1994,Comedy,1.33:1,1861
1252,Without Limits,Warner Brothers,Out,5.1,"4:3, LBX, 16:9",19.98,PG-13,1998,Drama,1.78:1,2251
1253,Witness (Paramount),Paramount,Out,5.1,"LBX, 16:9",29.99,R,1985,Mystery/Suspense,1.85:1,1291
1254,Wiz,Universal,Out,SUR,LBX,26.98,G,1978,Musical,1.85:1,113
1255,Wizard of Oz,MGM/UA,Discontinued,1,4:03,24.98,G,1939,Musical,1.33:1,493
1256,Wizard Of Oz: Deluxe Edition,Warner Brothers,Out,5.1,4:03,49.98,G,1939,Musical,1.33:1,1544
1257,Wizard Of Oz: Special Edition,Warner Brothers,Out,5.1,4:03,24.98,G,1939,Musical,1.33:1,1659
1258,Wolf Man: Classic Monster Collection,Universal,Out,1,4:03,29.98,NR,1941,Horror,1.33:1,160
1259,Woman of The Year,MGM/UA,Discontinued,1,4:03,24.98,NR,1942,Comedy,1.33:1,105
1260,Wood,Paramount,Out,5.1,"LBX, 16:9",29.99,R,1999,Comedy,1.85:1,2272
1261,Woodstock: Three Days Of Peace & Music: The Director's Cut,Warner Brothers,Out,5.1,"LBX, 16:9",24.98,R,1970,Music,VAR,704
1262,World Is Not Enough: Special Edition,MGM/UA,Discontinued,5.1,"LBX, 16:9",34.98,PG-13,1999,Action/Adventure,2.35:1,1354
1263,Wrongfully Accused,Warner Brothers,Out,5.1,4:03,19.98,PG-13,1998,Comedy,1.33:1,2005
1264,Xanadu,Universal,Out,SUR,"LBX, 16:9",24.98,PG,1980,Musical,1.85:1,349
1265,Yellow Submarine: Special Edition,MGM/UA,Out,5.1,LBX,24.98,G,1968,Musical,1.85:1,1741
1266,You've Got Mail,Warner Brothers,Out,5.1,"LBX, 16:9",24.98,PG,1998,Comedy,1.85:1,2085
1267,Young Cinematographer,Warner Brothers,Out,2,4:03,19.95,NR,1998,Family,1.33:1,731
1268,Young Guns 2,Warner Brothers,Out,5.1,"LBX, 16:9",19.98,PG-13,1990,Western,2.35:1,1562
1269,Young Hercules,Universal,Out,2,4:03,24.98,PG-13,1997,Action/Adventure,1.33:1,1976
1270,Zero Effect,Warner Brothers,Out,5.1,"4:3, LBX, 16:9",24.98,R,1998,Drama,1.85:1,1918
1271,"Hurricane, The:Special Edition",Universal,Out,5.1,"LBX, 16:9",26.98,R,1999,Drama,1.85:1,2154
1272,Isn't She Great,Universal,Out,5.1,"4:3, LBX, 16:9",24.98,R,1999,Comedy,1.85:1,126
1273,Ride with the Devil,Universal,Out,5.1,"4:3, LBX, 16:9",24.98,R,1999,Drama,2.35:1,2287
1274,Arsenic And Old Lace,Warner Brothers,Out,2,4:03,24.98,NR,1944,Comedy,1.33:1,2120
1275,Bronco Billy,Warner Brothers,Out,2,"4:3, LBX",24.98,PG,1980,Comedy,1.85:1,1149
1276,National Velvet,Warner Brothers,Out,1,4:03,24.98,NR,1944,Drama,1.33:1,745
1277,North by Northwest: Special Edition,Warner Brothers,Out,5.1,"LBX, 16:9",24.98,NR,1959,Mystery/Suspense,1.78:1,1603
1278,Trial  by Jury,Warner Brothers,Out,5.1,LBX,24.98,R,1994,Mystery/Suspense,1.85:1,556
1279,Diabolique,Warner Brothers,Out,5.1,LBX,24.98,R,1996,Mystery/Suspense,1.85:1,414
1280,Henry V,MGM/UA,Out,2,LBX,19.98,PG-13,1989,Drama,1.85:1,1970
1281,Interiors,MGM/UA,Out,2,"4:3, LBX",19.98,PG,1978,Drama,1.85:1,2133
1282,Love And Death,MGM/UA,Out,2,"LBX, 16:9",19.98,PG,1975,Comedy,1.85:1,2139
1283,Manhattan,MGM/UA,Out,2,"LBX, 16:9",19.98,R,1979,Comedy,2.35:1,1548
1284,Princess Bride,MGM/UA,Out,2,"4:3, LBX",19.98,PG,1987,Comedy,1.85:1,645
1285,Sleeper,MGM/UA,Out,2,"4:3, LBX",19.98,PG,1973,Comedy,1.85:1,938
1286,Stardust Memories,MGM/UA,Out,2,"4:3, LBX",19.98,PG,1980,Comedy,1.85:1,243
1287,Woody Allen Collection,MGM/UA,Out,VAR,"4:3, LBX",134.98,VAR,1973,Comedy,1.85:1,1144
1288,Star Trek II: The Wrath of Khan,Paramount,Out,5.1,"4:3, LBX, 16:9",29.99,PG-13,1982,SciFi,2.35:1,1968
1289,My Dog Skip: Special Edition,Warner Brothers,Out,5.1,"4:3, LBX, 16:9",24.98,PG,2000,Family,1.85:1,1261
1290,Angela's Ashes,Paramount,Out,5.1,"LBX, 16:9",29.99,R,1999,Drama,1.77:1,795
1291,Beethoven's 3rd,Universal,Out,5.1,"4:3, LBX, 16:9",24.98,PG,1999,Comedy,1.85:1,497
1292,Boogie Nights: Platinum Edition (2 Disc Set),New Line,Out,5.1,"4:3, LBX, 16:9",29.99,R,1997,Drama,2.35:1,1685
1293,Active Stealth: Special Edition,Paramount,Out,5.1,4:03,29.99,R,1999,Action/Adventure,1.33:1,1651
1294,Magnolia: Platinum Edition,New Line,Out,5.1,"4:3, LBX, 16:9",29.98,R,1999,Drama,2.35:1,86
1295,Searching For Bobby Fischer,Paramount,Out,5.1,"LBX, 16:9",29.99,PG,1993,Drama,1.85:1,1340
1296,Star Trek #13,Paramount,Out,5.1,4:03,19.99,NR,1967,TV Classics,1.33:1,1740
1297,Star Trek #14,Paramount,Out,5.1,4:03,19.99,NR,1967,TV Classics,1.33:1,1349
1298,Where's Marlowe,Paramount,Out,5.1,"4:3, LBX, 16:9",29.99,R,1999,Comedy,1.85:1,1135
1299,Kalifornia: Special Edition (Re-release),MGM/UA,Out,SUR,"4:3, LBX",19.95,R/NR,1993,Drama,1.85:1,456
1300,Platoon (Movie-Only Edition),MGM/UA,Out,5.1,"4:3, LBX, 16:9",19.95,R,1986,War,1.85:1,1812
1301,Fargo,MGM/UA,Out,SUR,"LBX, 16:9",19.95,R,1990,Drama,1.85:1,1073
1302,Metallica: With The San Francisco Symphony: S & M (Clean Version),Warner Music,Discontinued,5.1,4:03,34.99,NR,1999,Music,1.33:1,1214
1303,Nashville (Special Edition),Paramount,Out,5.1,"4:3, LBX, 16:9",29.99,R,1975,Drama,2.35:1,1141
1304,Braveheart (Special Edition),Paramount,Out,5.1,"LBX, 16:9",29.99,R,1995,Action/Adventure,2.35:1,1198
1305,Whole Nine Yards (Special Edition),Warner Brothers,Out,5.1,"4:3, LBX, 16:9",24.98,R,2000,Comedy,1.85:1,1491
1306,Boiler Room,Warner Brothers,Out,5.1,"4:3, LBX, 16:9",24.98,R,2000,Thriller,1.85:1,1088
1307,Big Tease,Warner Brothers,Out,5.1,"4:3, LBX, 16:9",24.98,R,1999,Comedy,1.85:1,1436
1308,K.D. Lang: Harvest Of Seven Years: Cropped And Chronicled,Warner Music,Out,SUR,4:03,24.98,NR,1991,Music,1.33:1,1886
1309,Misery,MGM/UA,Out,SUR,"4:3, LBX, 16:9",19.98,R,1990,Horror,1.85:1,1154
1310,Phantasm 4: Oblivion,MGM/UA,Out,5.1,"4:3, LBX, 16:9",19.98,R,1998,Horror,1.85:1,765
1311,Pumpkinhead,MGM/UA,Out,SUR,4:03,19.98,R,1988,Horror,1.33:1,1468
1312,Six Degrees Of Separation,MGM/UA,Out,5.1,"4:3, LBX",19.98,R,1993,Comedy,2.35:1,565
1313,Stonebrook,MGM/UA,Out,2,4:03,19.98,PG-13,1998,Mystery/Suspense,1.33:1,159
1314,Swamp Thing,MGM/UA,Out,1,"4:3, LBX",19.98,PG,1981,Horror,1.85:1,1297
1315,Texas Chainsaw Massacre 2,MGM/UA,Out,SUR,"4:3, LBX",19.98,R,1986,Horror,1.85:1,1050
1316,They Were Expendable,Warner Brothers,Out,1,4:03,24.98,NR,1945,Action/Adventure,1.33:1,1639
1317,Pretty Maids All In a Row,MGM/UA,Postponed,1,4:03,29.95,R,1971,Satire,1.33:1,11
1318,Deterrence: Special Edition,Paramount,Out,SUR,"LBX, 16:9",29.99,R,1999,Mystery/Suspense,1.85:1,594
1319,Abbott And Costello Meet Frankenstein: Classic Monster Collection,Universal,Out,1,4:03,29.98,NR,1948,Comedy,1.33:1,2021
1320,Creature From The Black Lagoon: Classic Monster Collection,Universal,Out,1,4:03,29.98,NR,1954,Horror,1.33:1,2284
1321,Invisible Man: Classic Monster Collection,Universal,Out,1,4:03,29.98,NR,1933,Horror,1.33:1,726
1322,Phantom Of The Opera (Special Edition/ 1943),Universal,Out,1,4:03,29.98,NR,1943,Horror,1.33:1,123
1323,Classic Monsters Collection (Special Edition),Universal,Out,1,4:03,199.98,NR,1970,Horror,1.33:1,330
1324,Playboy Wet And Wild #9: Slippery When Wet,Universal,Discontinued,SUR,4:03,24.98,NR,2000,Late Night,1.33:1,478
1325,Tycus (Special Edition),Paramount,Out,5.1,4:03,29.98,R,2000,SciFi,1.33:1,365
1326,Adam's Rib,Warner Brothers,Out,1,4:03,24.98,NR,1949,Comedy,1.33:1,2088
1327,Dark Victory,Warner Brothers,Out,1,4:03,24.98,NR,1939,Drama,1.33:1,1962
1328,Jezebel,Warner Brothers,Out,1,4:03,24.98,NR,1938,Drama,1.33:1,1153
1329,Next Best Thing,Paramount,Out,5.1,"LBX, 16:9",29.99,PG-13,2000,Comedy,1.85:1,2160
1330,Jurassic Park (Special Edition),Universal,Out,5.1,"LBX, 16:9",29.95,PG-13,1993,SciFi,1.85:1,1215
1331,Lost World: Jurassic Park (Special Edition/ Dolby Digital),Universal,Out,5.1,"LBX, 16:9",29.95,PG-13,1997,SciFi,1.85:1,583
1332,Twin Peaks: Fire Walk with Me,New Line,TBA,SUR,"LBX, 16:9",24.95,R,1992,Drama,1.85:1,492
1333,3 Strikes,MGM/UA,Out,5.1,"LBX, 16:9",26.98,R,2000,Comedy,1.85:1,552
1334,Amityville Horror,MGM/UA,Out,2,"4:3, LBX",19.98,R,1979,Horror,1.85:1,165
1335,Beach Party,MGM/UA,Out,1,"4:3, LBX, 16:9",19.98,NR,1963,Comedy,2.35:1,457
1336,Bikini Beach,MGM/UA,Out,1,"4:3, LBX",19.98,NR,1964,Comedy,2.35:1,280
1337,Bucket Of Blood,MGM/UA,Out,1,4:03,19.98,NR,1959,Horror,1.33:1,1318
1338,Delta Force,MGM/UA,Out,2,4:03,19.98,R,1986,Action/Adventure,1.33:1,1394
1339,Delta Force 2,MGM/UA,Out,2,4:03,19.98,R,1990,Action/Adventure,1.33:1,674
1340,Dillinger,MGM/UA,Out,1,"LBX, 16:9",19.98,R,1973,Drama,1.85:1,821
1341,Frogs,MGM/UA,Out,1,"LBX, 16:9",19.98,PG,1972,Horror,1.85:1,392
1342,Heavy Traffic,MGM/UA,Out,2,4:03,19.98,R,1973,Animation,1.33:1,343
1343,Jurassic Park (Special Edition),Universal,Out,DTS,"LBX, 16:9",26.98,PG-13,1993,SciFi,1.85:1,590
1344,Jurassic Park Collection (Limited Special Edition),Universal,Out,5.1,"LBX, 16:9",119.98,PG-13,1977,SciFi,1.85:1,578
1345,Jurassic Park Collection (Special Edition),Universal,Out,5.1,"LBX, 16:9",53.98,PG-13,1979,SciFi,1.85:1,2281
1346,Lost World: Jurassic Park (Special Edition),Universal,Out,DTS,"LBX, 16:9",26.98,PG-13,1997,SciFi,1.85:1,1981
1347,Pajama Party,MGM/UA,Out,1,"4:3, LBX, 16:9",19.98,NR,1964,Comedy,2.35:1,504
1348,Stranger Than Paradise,MGM/UA,Out,1,"LBX, 16:9",19.98,R,1984,Comedy,1.85:1,207
1349,Supernova,MGM/UA,Out,5.1,"4:3, LBX, 16:9",26.98,R,1999,SciFi,2.35:1,1280
1350,Tales Of Terror,MGM/UA,Out,2,4:03,19.98,NR,1974,Horror,1.33:1,409
1351,This Is Spinal Tap (Special Edition),MGM/UA,Out,5.1,LBX,29.98,R,1984,Comedy,1.85:1,267
1352,American Psycho (Unrated),Universal,Out,5.1,"LBX, 16:9",26.98,NR,1999,Suspense/Thriller,2.35:1,2008
1353,Afrocentricity,Warner Music,Out,5.1,"4:3, LBX",14.98,NR,2000,Special Interest,1.85:1,1298
1354,42nd Street,Warner Brothers,Out,1,4:03,24.98,NR,1933,Musical,1.33:1,1256
1355,Good News,Warner Brothers,Out,1,4:03,24.98,NR,1947,Musical,1.33:1,1342
1356,Take Me Out To The Ball Game,Warner Brothers,Out,2,4:03,24.98,NR,1949,Musical,1.33:1,807
1357,50 Years War: Israel And The Arabs,Warner Brothers,Out,2,4:03,39.98,NR,1999,Other,1.33:1,2201
1358,Butterfield 8,Warner Brothers,Out,2,"4:3, LBX, 16:9",24.98,NR,1960,Drama,2.35:1,784
1359,Christmas Carol,Warner Brothers,Out,2,4:03,19.98,NR,1999,Family,1.33:1,559
1360,Pat And Mike,Warner Brothers,Out,2,4:03,24.98,NR,1952,Comedy,1.33:1,1032
1361,Unsinkable Molly Brown,Warner Brothers,Out,5.1,"LBX, 16:9",24.98,NR,1964,Musical,2.35:1,188
1362,Erin Brockovich,Universal,Out,5.1,"LBX, 16:9",26.98,R,2000,Drama,1.85:1,872
1363,"Naked Gun, The: From the Files of Police Squad",Paramount,Out,5.1,"LBX, 16:9",29.99,PG,1988,Comedy,1.85:1,1645
1364,Naked Gun 2 1/2: The Smell of Fear,Paramount,Out,5.1,"LBX, 16:9",29.99,PG,1991,Comedy,1.85:1,271
1365,Naked Gun 33 1/3: The Final Insult,Paramount,Out,5.1,"LBX, 16:9",29.99,PG,1994,Comedy,1.85:1,2192
1366,Shane (Special Edition),Paramount,Out,3,4:03,29.99,NR,1953,Western,1.33:1,2173
1367,American Psycho (R-Rated),Universal,Out,5.1,"LBX, 16:9",26.98,R,1999,Suspense/Thriller,2.35:1,2004
1368,Romeo Must Die,Warner Brothers,Out,5.1,"LBX, 16:9",24.98,R,2000,Action/Adventure,2.35:1,484
1369,Beyond The Mat: Collector's Edition (Unrated Version),Universal,Out,5.1,4:03,29.98,NR,2000,Special Interest,1.33:1,1439
1370,Big Kahuna,Universal,Out,5.1,"LBX, 16:9",26.98,R,2000,Comedy,1.85:1,16
1371,Dragonheart: A New Beginning,Universal,Out,5.1,4:03,24.98,PG,2000,SciFi,1.33:1,1359
1372,7 Faces Of Dr. Lao,Warner Brothers,Out,2,"4:3, LBX",24.98,NR,1964,SciFi,1.85:1,519
1373,Bad Moon,Warner Brothers,Out,5.1,LBX,19.98,R,1996,Horror,1.85:1,454
1374,Batman Beyond: Return Of The Joker,Warner Brothers,Out,2,4:03,24.98,NR,2000,Animation,1.33:1,1183
1375,Scooby Doo And The Alien Invaders,Warner Brothers,Out,2,4:03,24.98,NR,2000,Animation,1.33:1,1253
1376,Tom Thumb (Special Edition),Warner Brothers,Out,1,"4:3, LBX",24.98,G,1958,Family,1.66:1,1842
1377,Playboy: Sexy Girls Next Door,Universal,Out,2,4:03,24.98,NR,2000,Late Night,1.33:1,1251
1378,Adventures of the Wilderness Family,Universal,Postponed,1,4:03,19.98,G,1975,Family,1.33:1,530
1379,Angel,Warner Brothers,Out,2,4:03,19.95,NR,1999,Drama,1.33:1,1440
1380,New Barbarians,MGM/UA,Postponed,2,4:03,9.99,R,1982,Action/Adventure,1.33:1,1516
1381,Proud And The Damned,MGM/UA,Out,2,4:03,9.99,PG,1969,Western,1.33:1,406
1382,Trial By Jury,Warner Brothers,Out,5.1,LBX,24.98,R,1994,Mystery/Suspense,1.85:1,1597
1383,American Beauty (Special Edition),Universal,Out,5.1/DTS,"LBX, 16:9",26.99,R,1999,Drama,2.35:1,137
1384,Elvis '68 Comeback Special,Warner Music,Out,5.1,4:03,24.98,NR,1968,Music,1.33:1,858
1385,Elvis: One Night With You,Warner Music,Out,5.1,4:03,24.98,NR,1968,Music,1.33:1,1872
1386,"Charlie Brown Christmas/ It's Christmastime Again, Charlie Brown",Paramount,Out,1,4:03,19.99,NR,1978,Animation,1.33:1,291
1387,Charlie Brown Thanksgiving/ The Mayflower Voyages,Paramount,Out,1,4:03,19.99,NR,1976,Animation,1.33:1,357
1388,"It's The Great Pumpkin, Charlie Brown/ You're Not Elected, Charlie Brown",Paramount,Out,1,4:03,19.99,NR,1971,Animation,1.33:1,1512
1389,Peanuts Classic Holiday Collection,Paramount,Out,1,4:03,59.97,NR,1976,Animation,1.33:1,2033
1390,How The West Was Won,Warner Brothers,Out,SUR,LBX,24.98,NR,1962,Western,2.35:1,782
1391,Year Of Living Dangerously,Warner Brothers,Out,2,"LBX, 16:9",24.98,PG,1983,Drama,2.25:1,1865
1392,Enter The Dragon: Collector's Edition,Warner Brothers,Out,5.1,"LBX, 16:9",79.98,R,1973,Action/Adventure,2.35:1,761
1393,Ministry: Tapes Of Wrath,Warner Music,Out,2,4:03,24.99,NR,1972,Music,1.33:1,1476
