ID,Title,Studio,Status,Sound,Versions,RecRetPrice,Rating,Year,Genre,Aspect,Rank
100,Billy Madison,Universal,Out,5.1,"LBX, 16:9",24.98,PG-13,1995,Comedy,1.85:1,171
101,Bird On A Wire,Universal,Out,SUR,LBX,24.98,PG-13,1990,Drama,2.35:1,158
102,Birdcage,MGM/UA,Out,SUR,"4:3, LBX, 16:9",24.98,R,1996,Comedy,1.85:1,593
103,Birds: Collector's Edition,Universal,Out,1,"LBX, 16:9",29.98,PG-13,1963,Horror,1.85:1,2074
104,Bjork: All Is Full Of Love,Warner Brothers,Out,2,4:03,9.95,NR,1999,Music,1.33:1,356
105,Bjork: Volumen,Warner Brothers,Out,2,4:03,24.98,NR,1999,Music,1.33:1,898
106,Black Beauty (1994),Warner Brothers,Out,SUR,"4:3, LBX, 16:9",19.98,G,1994,Family,1.85:1,380
107,Black Dog,Universal,Out,5.1,"LBX, 16:9",24.98,R,1998,Action/Adventure,2.35:1,1733
108,Black Rain (1989),Paramount,Out,5.1,LBX,29.99,R,1989,Mystery/Suspense,2.35:1,1418
109,Black Stallion,MGM/UA,Out,SUR,"4:3, LBX",24.98,G,1979,Adventure,1.85:1,2237
110,Blade Runner: Director's Cut,Warner Brothers,Out,SUR,"4:3, LBX, 16:9",24.98,R,1982,SciFi,2.35:1,973
111,Blade: Platinum Edition,New Line,Out,5.1,"LBX, 16:9",24.98,R,1998,SciFi,2.35:1,99
112,Blast From The Past,New Line,Out,5.1,"4:3, LBX, 16:9",24.98,PG-13,1999,Comedy,2.35:1,1547
113,Blazing Saddles,Warner Brothers,Out,2,"4:3, LBX, 16:9",24.98,R,1974,Comedy,2.35:1,980
114,"Blood, Guts, Bullets And Octane",Universal,Out,SUR,LBX,24.98,R,1998,Action/Adventure,1.85:1,750
115,Blown Away,MGM/UA,Out,5.1,"4:3, LBX, 16:9",24.98,R,1994,Action/Adventure,2.35:1,752
116,Blue Hawaii,Paramount,Out,5.1,"LBX, 16:9",19.99,PG,1961,Musical,2.35:1,1848
117,Blue Velvet (MGM/UA),MGM/UA,Out,SUR,"LBX, 16:9",24.98,R,1986,Mystery/Suspense,2.35:1,1602
